# 中国高校名称
# 来自教育部门，包括部分曾用名
#
# 学校名称	英文名称

中南林业科技大学涉外学院	Swan college, Central South University of Forestry and Technology / Swan College, Central South University of Forestry and Technology
中南民族大学	South-central University for Nationalities / South-Central Minzu University
中南海业余大学	
中南财经政法大学	Zhongnan University of Economics and Law
中原工学院	Zhongyuan University of Technology
中原工学院信息商务学院	
中原科技学院	
中国人民公安大学	People's Public Security University of China
中国人民大学	Renmin University of China
中国人民武装警察部队后勤学院	
中国人民武装警察部队士官学校	Noncommissioned Officer Academy of PAP
中国人民武装警察部队工程大学	
中国人民武装警察部队指挥学院	PAP Command College
中国人民武装警察部队海警学院	China Coast Guard Academy
中国人民武装警察部队特种警察学院	
中国人民武装警察部队警官学院	Officers College of PAP
中国人民解放军国防大学	PLA National Defence University
中国人民解放军国防科技大学	National University of Defense Technology
中国人民解放军战略支援部队信息工程大学	Information Engineering University
中国人民解放军战略支援部队航天工程大学	Space Engineering University
中国人民解放军海军军医大学	Naval Medical University
中国人民解放军海军勤务学院	Naval Logistics Academy
中国人民解放军海军士官学校	Chinese People's Liberation Army Naval Non commissioned Officer School
中国人民解放军海军大连舰艇学院	
中国人民解放军海军工程大学	
中国人民解放军海军指挥学院	
中国人民解放军海军潜艇学院	PLA Naval Submarine Academy
中国人民解放军海军航空大学	Naval Aviation University
中国人民解放军火箭军士官学校	Chinese People's Liberation Army Rocket Sergeant School
中国人民解放军火箭军工程大学	Rocket Force University of Engineering
中国人民解放军火箭军指挥学院	Smf command college of PLA
中国人民解放军空军军医大学	Air Force Medical University
中国人民解放军空军勤务学院	
中国人民解放军空军哈尔滨飞行学院	People's Liberation Army Air Force Harbin Flight Academy
中国人民解放军空军工程大学	
中国人民解放军空军指挥学院	Chinese people's Liberation Army Air Force Command College
中国人民解放军空军石家庄飞行学院	Air Force Engineering University
中国人民解放军空军航空大学	
中国人民解放军空军西安飞行学院	
中国人民解放军空军通信士官学校	Air Force Communication NCO Academy
中国人民解放军空军预警学院	
中国人民解放军陆军军事交通学院	
中国人民解放军陆军军医大学	Army Medical University
中国人民解放军陆军勤务学院	Army Logistics Academy
中国人民解放军陆军工程大学	Army Engineering University of PLA
中国人民解放军陆军指挥学院	
中国人民解放军陆军步兵学院	
中国人民解放军陆军炮兵防空兵学院	
中国人民解放军陆军特种作战学院	Special Operation College of PLA
中国人民解放军陆军航空兵学院	
中国人民解放军陆军装甲兵学院	
中国人民解放军陆军边海防学院	Army Academy of Border and Coastal Defense
中国人民解放军陆军防化学院	Institute of NBC Defence, PLA Army
中国人民警察大学	China People's Police University
中国传媒大学	Communication University of China
中国传媒大学南广学院	
中国农业大学	China Agricultural University
中国刑事警察学院	Criminal Investigation Police University of China
中国劳动关系学院	China University of Labor Relations
中国医科大学	China Medical University / China Medical University (Shenyang)
中国医科大学临床医药学院	
中国地质大学（北京）	China University of Geosciences Beijing / China University of Geosciences, Beijing
中国地质大学（武汉）	China University of Geosciences
中国工程物理研究院职工工学院	
中国戏曲学院	National Academy of Chinese Theatre Arts
中国政法大学	China University of Political Science and Law
中国民用航空飞行学院	Civil Aviation Flight University of China
中国民航大学	Civil Aviation University of China
中国海洋大学	Ocean University of China
中国消防救援学院	China Fire and Rescue Institute
中国环境管理干部学院	
中国石油大学胜利学院	
中国石油大学（北京）	China University of Petroleum-Beijing / China University of Petroleum, Beijing
中国石油大学（华东）	China University of Petroleum (East China) / China University of Petroleum
中国矿业大学	China University of Mining and Technology
中国矿业大学徐海学院	Xuhai College, China University of Mining and Technology
中国矿业大学银川学院	
中国矿业大学（北京）	China University of Mining and Technology-Beijing
中国社会科学院大学	University of Chinese Academy of Social Sciences
中国科学技术大学	University of Science and Technology of China
中国科学院大学	University of Chinese Academy of Sciences
中国科学院成都分院职工大学	
中国科学院管理干部学院	
中国美术学院	China Academy of Art
中国药科大学	China Pharmaceutical University
中国计量大学	China Jiliang University
中国计量大学现代科技学院	China Jiliang University College of Modern Science and Technology
中国计量学院	
中国计量学院现代科技学院	
中国记协职工新闻学院	
中国青年政治学院	China Youth University of Political Studies
中国音乐学院	China Conservatory of Music
中央党校继续教育学院	
中央司法警官学院	The National Police University for Criminal Justice
中央广播电视大学	
中央戏剧学院	The Central Academy of Drama
中央民族大学	Minzu University of China
中央美术学院	Central Academy of Fine Arts
中央财经大学	Central University of Finance and Economics
中央音乐学院	Central Conservatory of Music
中山大学	Sun Yat-sen University
中山大学南方学院	Nanfang College of Sun Yat-sen University
中山大学新华学院	Xinhua College of Sun Yat-sen University
中山火炬职业技术学院	Zhongshan Torch Polytechnic
中山职业技术学院	Zhongshan Polytechnic
中州大学	
中钢集团衡阳重机职工大学	
临夏现代职业学院	Linxia Modern Vocational College
临汾职业技术学院	Linfen Vocational and Technical College
临沂大学	Linyi University
临沂师范学院	
临沂科技职业学院	Linyi Vocational University of Science and Technology
临沂职业学院	Linyi Vocational College
临沧师范高等专科学校	
临沧职业学院	Lincang Vocational College
丹江口工程管理局职工大学	
丽水学院	Lishui University
丽水职业技术学院	Lishui Vocational and Technical College
丽江师范学院	Lijiang Teachers College
丽江师范高等专科学校	Lijiang Teachers College
丽江文化旅游学院	Lijiang Culture and Tourism College
丽江职业技术学院	Lijiang Vocational and Technical College
义乌工商职业技术学院	Yiwu Industrial & Commercial College
乌兰察布医学高等专科学校	Wulanchabu Medical College / Ulanqab Medical College
乌兰察布职业学院	Ulanqab Vocational College
乌海职业技术学院	Wuhai Vocational and Technical College
乌鲁木齐成人教育学院	
乌鲁木齐职业大学	Urumqi Vocational University
乌鲁木齐职业技术学院	Urumqi Vocational College
乐山师范学院	Leshan Normal University
乐山职业技术学院	Leshan Vocational and Technical College
九州职业技术学院	Jiuzhou Polytechnic
九江学院	Jiujiang University
九江理工职业学院	Jiujiang Insititute of Technology / Jiujiang Institute of Technology
九江职业大学	Jiujiang Vocational University
九江职业技术学院	Jiujiang Vocational and Technical College
云南三鑫职业技术学院	Yunnan Sanxin Vocational and Technical College
云南中医药大学	Yunnan University of Chinese Medicine
云南交通职业技术学院	Yunnan Communications Vocational and Technical College
云南交通运输职业学院	Yunnan Vocational College of Transportation
云南体育运动职业技术学院	Yunnan Physical Science and Sports Professional College
云南农业大学	Yunnan Agricultural University
云南农业职业技术学院	Yunnan Vocational and Technical College of Agriculture
云南北美职业学院	
云南医学高等专科学校	
云南医药健康职业学院	Yunnan Medical Health College
云南司法警官职业学院	Yunnan Vocational College of Judicial Police
云南商务职业学院	Yunnan Business Vocational College
云南国土资源职业学院	Yunnan Land and Resources Vocational College / Yunnan Land and Resourcesvocational College
云南国防工业职业技术学院	Yunnan National Defense Industry Vocational and Technical College / Yunnan Vocational and Technical College of Industry for National Defence
云南城市建设职业学院	Yunnan Urban Construction Vocational College
云南外事外语职业学院	Yunnan College of Foreign Affairs & Foreign Language
云南大学	Yunnan University
云南大学旅游文化学院	
云南大学滇池学院	Dianchi College of Yunnan University
云南工业信息职业学院	Yunnan Industrial and Information Vocational College
云南工商学院	Yunnan Technology and Business University
云南工程职业学院	Yunnan Engineering Vocational College
云南工贸职业技术学院	Yunnan Industry & Trade Vocational College
云南师范大学	Yunnan Normal University
云南师范大学商学院	
云南师范大学文理学院	
云南广播电视大学	
云南开放大学	
云南文化艺术职业学院	Yunnan Vocational College of Culture and Art
云南新兴职业学院	Yunnan Xinxing Occupations Institute
云南旅游职业学院	Yunnan College of Tourism Vocation
云南机电职业技术学院	Yunnan Vocational College of Mechanical and Electrical Technology
云南林业职业技术学院	Yunnan Forestry Technological College
云南民族大学	Yunnan Minzu University
云南水利水电职业学院	Yunnan Waterresources and Hydropower Vocational College / Yunnan Water Resources and Hydropower Vocational College
云南热带作物职业学院	
云南爱因森软件职业学院	
云南特殊教育职业学院	Yunnan Vocational College of Special Education
云南现代职业技术学院	Yunnan Modern Vocational Technology College
云南理工职业学院	Yunnan Polytechnic College
云南科技信息职业学院	Yunnan Vocational College of Science and Technology Information / Yunnan Institute of Technology and Information
云南经济管理学院	Yunnan University of Business Management
云南经济管理职业学院	
云南经贸外事职业学院	Yunnan Economics Trade and Foreign Affairs College
云南能源职业技术学院	Yunnan Vocational Institute of Energy Technology
云南艺术学院	Yunnan Arts University
云南艺术学院文华学院	Wenhua College of Yunnan Arts University / Wenhua College of YAU
云南警官学院	Yunnan Police College
云南财经大学	Yunnan University of Finance and Economics
云南财经职业学院	Yunnan College of Finance and Economics
云南轻纺职业学院	Yunnan Light and Textile Industry Vocationalcollege / Yunnan Light and Textile Industry Vocational College
云南锡业职业技术学院	Yunnan Tin Vocation&Technical College / Yunnan Tin Vocational & Technical College
五邑大学	xG / Wuyi University
井冈山大学	Jinggangshan University
井冈山学院	
亳州学院	Bozhou University
亳州师范高等专科学校	
亳州职业技术学院	Bozhou Vocational and Technical College
仙桃职业学院	Xiantao Vocational College
仰恩大学	Yang-En University
仲恺农业工程学院	Zhongkai University of Agriculture and Engineering
仲恺农业技术学院	
伊春市职工大学	
伊春职业学院	Yichun Vocational College
伊犁师范大学	Yili Normal University
伊犁职业技术学院	Yili Vocational and Technical College
佛山大学	
佛山科学技术学院	Foshan University
佛山职业技术学院	Foshan Polytechnic
佳木斯大学	Jiamusi University
佳木斯市教育学院	
佳木斯市联合职工大学	
佳木斯职业学院	Jiamusi Vocational College
保定学院	Baoding University
保定幼儿师范高等专科学校	Baoding Preschool Teachers College
保定理工学院	Baoding University of Technology
保定电力职业技术学院	Baoding Technical College of Electric Power / Baoding Electric Power Voc. & Tech. College
保定科技职业学院	
保定职业技术学院	Baoding Vocational and Technical College
保山中医药高等专科学校	Baoshan College of Traditional Chinese Medicine
保山学院	Baoshan University
保山师范高等专科学校	
保山职业学院	Baoshan Vocational College
保险职业学院	Insurance Professional College
信阳农业高等专科学校	
信阳农林学院	Xinyang Agriculture and Forestry University
信阳学院	Xinyang University
信阳工程职业学院	Xinyang Engineering Vocational College
信阳师范大学	
信阳师范学院	
信阳师范学院华锐学院	
信阳涉外职业技术学院	Xinyang International College of Vocation and Technology / Xinyang International Vocation Institute
信阳科技职业学院	Xinyang Vocational College of Science and Technology
信阳职业技术学院	Xinyang Vocational and Technical College
信阳航空职业学院	Xinyang Aviation Vocational College
信阳艺术职业学院	Xinyang Vocational College of Art
健雄职业技术学院	
克孜勒苏职业技术学院	Kizilsu Vocational Technical College
克拉玛依职业技术学院	Karamay Vocational & Technical College
兖州矿区职工大学	
公安海警学院	
公安海警高等专科学校	
公安消防部队高等专科学校	Public Security Fire Forces College / Public Security Fire Force College
公安边防部队高等专科学校	
公安部管理干部学院	
六安职业技术学院	Lu’An Vocational Technical College / Lu'an Vocational Technical College
六盘水师范学院	Liupanshui Normal College / Liupanshui Normal University
六盘水师范高等专科学校	
六盘水幼儿师范高等专科学校	Liupanshui Preschool Educatlon College / Liupanshui Preschool Education College
六盘水职业技术学院	Liupanshui Vocational and Technical College
兰州交通大学	Lanzhou Jiaotong University
兰州交通大学博文学院	
兰州信息科技学院	
兰州博文科技学院	
兰州商学院	
兰州城市学院	Lanzhou City University
兰州外语职业学院	Lanzhou Foreign Languages Vocational College / Lanzhou College of Foreign Studies
兰州大学	Lanzhou University
兰州工业学院	Lanzhou Institute of Technology
兰州工业高等专科学校	
兰州工商学院	
