# 外国高校名
# 教育部认证院校查询 https://www.smartedu.cn/home/servicehall?name=RZYXCX
# 
# 中文名称	外文名称	国家

二月三日国立大学	Universidad Nacional de Tres de Febrero	阿根廷
法尤姆大学	Fayoum University	埃及
弗林德斯大学	Flinders University	澳大利亚
法学院	The College of Law	澳大利亚
费蒂阿伯斯塞提夫大学	Ferhat Abbas University of Setif	阿尔及利亚
费尔哈特·阿巴斯·塞提夫第一大学	Université Ferhat Abbas Sétif 1	阿尔及利亚
发罗拉伊斯梅尔·捷马利大学	University “Ismail Qemali” Vlore	阿尔巴尼亚
贡达尔大学	University of Gondar	埃塞俄比亚
格拉茨音乐与表演艺术大学	Universität für Musik und darstellende Kunst Graz	奥地利
格拉茨医科大学	Medizinische Universität Graz	奥地利
格拉茨技术大学	Technische Universität Graz	奥地利
格拉茨大学	Karl-Franzens-Universität Graz	奥地利
格拉茨经济高等专业学院	Campus 02 Fachhochschule der Wirtschaft	奥地利
格里菲斯大学	Griffith University	澳大利亚
戈登技术与继续教育学院	Gordon Institute of TAFE	澳大利亚
国际研究学院	The Institute of International Studies	澳大利亚
国际商业与技术学院	International Institute of Business and Technology	澳大利亚
国家艺术学院	National Art School	澳大利亚
国际酒店管理学院	ICHM	澳大利亚
国立航空学院	National Aviation Academy	阿塞拜疆
国立电信信息技术与传播学院	Institut National des Télécommunications et des Technologies de l'Information et de la Communication	阿尔及利亚
高等技术学院	الكليات التقنية	阿曼
国立技术大学	Universidad Tecnológica Nacional	阿根廷
赫尔万大学	Helwan University	埃及
皇家墨尔本理工大学	Royal Melbourne Institute of Technology	澳大利亚
黄金海岸技术与继续教育学院	Gold Coast Institute of TAFE	澳大利亚
霍姆斯格兰技术与继续教育学院	Holmesglen Institute	澳大利亚
霍尔姆斯学院	Holmes Institute	澳大利亚
胡阿里布迈丁科技大学	University of Sciences and Technology Houari Boumediene	阿尔及利亚
海事商务大学	Universidad de la Marina Mercante	阿根廷
汉西翻译专科学校	Instituto Superior de Intérpretes de Idioma Chino	阿根廷
哈里发大学	Khalifa University	阿联酋
哈伊马角医药卫生科学大学	RAK Medical and Health Sciences University	阿联酋
季马大学	Jimma University	埃塞俄比亚
剑桥国际学院	CIC Higher Education	澳大利亚
加利卜大学	Ghalib University	阿富汗
