# 反义词
# 整理自：
# https://github.com/guotong1988/chinese_dictionary
# http://fyc.5156edu.com
#
# 原始词	反义词

一目了然	高深莫测
一直	断续
一相情愿	两相情愿
一瞥	审视
一知半解	打破沙锅问到底
一知半解	通今博古
一神教	多神教
一穷二白	丰衣足食
一穷二白	人给家足
一窍不通	全知全能
一窍不通	无所不知
一窍不通	无所不通
一窍不通	洞察一切
一窍不通	触类旁通
一笔抹煞	生吞活剥
一筹莫展	大展宏图
一筹莫展	大显神通
一筹莫展	情急智生
一筹莫展	游刃有余
一筹莫展	稳操胜券
一筹莫展	锦囊妙计
一箭之遥	天涯海角
一箭双雕	事倍功半
一统天下	四分五裂
一脉相承	以讹传讹
一致	分歧
一般	专科
一般	个别
一般	典型
一般	格外
一般	特别
一般	特殊
一般	独特
一花独放	万紫千红
一花独放	百花齐放
一落千丈	扶摇直上
一落千丈	盛极一时
一落千丈	突飞猛进
一落千丈	青云直上
一落千丈	飞黄腾达
一表人才	其貌不扬
一见如故	素不相识
一见如故	行同陌路
一见如故	行同陌路素不相识
一见如故	视同路人
一视同仁	不分畛域
一视同仁	厚此薄彼
一视同仁	因材施教
一视同仁	量才录用
一览无余	一鳞半爪
一览无遗	略见一斑
一触即溃	举世无敌
一触即溃	坚不可摧
一触即溃	壁垒森严
一触即溃	戒备森严
一触即溃	战无不胜
一触即溃	旗开得胜
一触即溃	牢不可破
一言不发	说长道短
一言不发	高谈阔论
一言不语	娓娓动听
一言不语不堪入耳	娓娓动听
一言九鼎	人微言轻
一言千金	人微言轻
一言堂	群言堂
一言既出，驷马难追	言而无信
一语中的	不痛不痒
一语破的	不可名状
一语破的	隔靴搔痒
一误再误	知错改错
一诺千金	空头支票
一诺千金	背信弃义
一诺千金	轻诺寡信
一败涂地	大获全胜
一败涂地	百战不殆
一贫如洗	家财万贯
一贫如洗	家财万贯无所不包
一贫如洗	无所不包
一贯	偶尔
一贯	偶然
一路	半路
一路顺风	跋山涉水
一蹴而就	欲速不达
一蹴而就	欲速则不达
一蹶不振	东山再起
一蹶不振	平步青云
一蹶不振	死灰复然
一蹶不振	死灰复燃
一蹶不振	百折不挠
一蹶不振	重整旗鼓
一连	间断
一针一线	斗牛车薪
一针见血	不痛不痒
一针见血	莫衷一是
一针见血	隔靴搔痒
一钱不值	价值连城
一隅之见	真知灼见
一隅之见	远见卓识
一面	全体
一面之词	兼听则明
一面倒	骑墙式
一馈十起	游手好闲
一马平川	万壑千岩
一马平川	千山万壑
一马平川	千岩万壑
一马平川	崇山峻岭
一马平川	龙盘虎踞
一鳞半爪	十全十美
一鳞半爪	完美无缺
丁一卯二	藕断丝连
丁是丁，卯是卯	藕断丝连
七上八下	心安理得
七嘴八舌	异口同声
七嘴八舌	沉默寡言
七嘴八舌	鸦雀无声
七情六欲	四大皆空
七手八脚	有条不紊
七折八扣	不折不扣
七拼八凑	无懈可击
七拼八凑	浑然一体
七步之才	呆头呆脑
七步成诗	江郎才尽
七窍生烟	心平气和
七通八达	窒塞难行
七零八落	井井有条
七零八落	浑然一体
七零八落	络绎不绝
七颠八倒	有条有理
万不得已	心甘情愿
万事亨通	内外交困
万事亨通	时乖命蹇
万事亨通	焦头烂额
万事亨通	艰难曲折
万事亨通	荆棘载途
万事大吉	艰难曲折
万事大吉	节外生枝
万人空巷	穷乡僻壤
万众一心	各奔前程
万众一心	四分五裂
万众一心	挂一漏万
万劫不复	卷土重来
万古不变	万象更新
万古长存	遗臭万年
万古长青	昙花一现
万家灯火	灯火阑珊
万寿无疆	行将就木
万念俱灰	意气风发
万念俱灰	豪情壮志
万念俱灰	雄心勃勃
万念俱灰	雄心壮志
万念俱灰	雄心未死
万无一失	防不胜防
万死不辞	畏首畏尾
万死不辞	贪生怕死
万流景仰	民怨沸腾
万箭攒心	兴高采烈
万籁俱寂	声振林木
万籁俱寂	天崩地裂
万籁俱寂	惊天动地
万籁俱寂	沸沸扬扬
万籁俱寂	熙来攘往
万籁俱寂	锣鼓喧天
